alpha_gate,gate,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,"GT_IDs
"
0.7,0.7,65.88,66.229,66.077,71.895,82.434,76.545,75.323,86.738,68.838,77.069,83.722,64.524,76.686,84.93,77.176,82.195,94.245,57.522,29.794,12.684,44295,9595,2705,264,195,101,43,357,64.299,75.893,71.041,81.455,38284,15606,8716,47000,53890,268,"339
"
0.3,0.0,69.178,67.265,71.604,71.653,84.513,76.77,84.145,87.019,71.569,80.642,84.553,68.185,78.473,85.154,78.72,81.752,96.424,56.637,28.024,15.339,44056,9834,1634,133,192,95,52,266,66.336,80.922,74.765,88.183,40291,13599,5399,45690,53890,398,"339
"
0.7,0.2,69.506,67.483,72.049,71.931,84.435,76.999,84.554,86.974,71.931,81.155,84.491,68.568,78.835,85.096,79.067,82.128,96.406,57.227,28.319,14.454,44259,9631,1650,125,194,96,49,259,66.594,81.514,75.478,88.599,40675,13215,5234,45909,53890,396,"339
"
0.8,0.9,63.752,65.919,62.2,71.966,81.896,75.386,70.726,86.75,66.81,74.619,83.668,62.432,76.007,85.065,76.619,82.247,93.595,57.522,28.614,13.864,44323,9567,3033,330,195,97,47,417,63.723,72.552,68.154,77.557,36728,17162,10628,47356,53890,230,"339
"
0.7,0.0,69.178,67.265,71.604,71.653,84.513,76.77,84.145,87.019,71.569,80.642,84.553,68.185,78.473,85.154,78.72,81.752,96.424,56.637,28.024,15.339,44056,9834,1634,133,192,95,52,266,66.336,80.922,74.765,88.183,40291,13599,5399,45690,53890,398,"339
"
0.7,0.8,63.816,65.686,62.545,71.765,81.743,75.369,71.926,86.679,66.903,74.813,83.5,62.469,75.823,84.824,76.459,82.127,93.545,57.227,29.204,13.569,44258,9632,3054,343,194,99,46,405,63.36,72.73,68.291,77.786,36802,17088,10510,47312,53890,237,"339
"
0.4,0.4,68.775,66.722,71.364,71.47,83.907,77.28,82.855,86.964,71.354,80.414,84.258,67.755,77.71,85.223,78.096,81.637,95.843,55.752,29.204,15.044,43994,9896,1908,208,189,99,51,324,65.646,80.626,74.65,87.641,40229,13661,5673,45902,53890,383,"339
"
0.6,0.3,69.221,67.296,71.658,71.821,84.312,76.992,83.952,86.991,71.68,80.78,84.515,68.271,78.454,85.119,78.72,81.952,96.205,57.522,28.024,14.454,44164,9726,1742,143,195,95,49,278,66.259,81.003,75.003,88.047,40419,13471,5487,45906,53890,402,"339
"
0.1,0.5,66.245,65.746,67.247,71.065,82.902,75.09,79.012,86.878,69.056,77.546,83.882,65.047,75.984,85.22,76.729,81.225,94.755,54.867,30.383,14.749,43772,10118,2423,401,186,103,50,454,63.979,76.447,70.989,82.814,38256,15634,7939,46195,53890,348,"339
"
0.5,0.9,65.186,65.501,65.372,71.529,81.844,77.317,73.46,86.764,68.303,76.572,83.601,64.015,75.233,85.102,75.962,81.679,93.458,56.047,30.383,13.569,44017,9873,3081,393,190,103,46,435,63.064,74.728,70.019,80.116,37733,16157,9365,47098,53890,237,"339
"
0.1,0.1,69.272,67.232,71.835,71.652,84.443,76.772,84.683,86.984,71.684,80.808,84.503,68.285,78.549,85.228,78.796,81.824,96.431,57.227,28.319,14.454,44095,9795,1632,133,194,96,49,267,66.462,80.998,74.864,88.228,40344,13546,5383,45727,53890,403,"339
"
0.8,0.2,69.332,67.481,71.697,71.92,84.452,76.866,84.219,86.981,71.748,80.9,84.51,68.369,78.812,85.103,79.048,82.104,96.411,57.227,28.319,14.454,44246,9644,1647,127,194,96,49,256,66.581,81.284,75.253,88.366,40554,13336,5339,45893,53890,397,"339
"
